지점,지점명,일시,평균 이산화탄소(CO2) 배경대기농도(ppm)
115,울릉도독도(감),2022-05-14,425.79
115,울릉도독도(감),2022-05-15,425.64
115,울릉도독도(감),2022-05-16,425.48
115,울릉도독도(감),2022-05-17,425.31
115,울릉도독도(감),2022-05-18,425.15
115,울릉도독도(감),2022-05-19,424.99
115,울릉도독도(감),2022-05-20,424.82
115,울릉도독도(감),2022-05-21,424.66
115,울릉도독도(감),2022-05-22,424.49
115,울릉도독도(감),2022-05-23,424.33
115,울릉도독도(감),2022-05-24,424.17
115,울릉도독도(감),2022-05-25,424.01
115,울릉도독도(감),2022-05-26,423.85
115,울릉도독도(감),2022-05-27,423.69
115,울릉도독도(감),2022-05-28,423.54
115,울릉도독도(감),2022-05-29,423.39
115,울릉도독도(감),2022-05-30,423.25
115,울릉도독도(감),2022-05-31,423.1
115,울릉도독도(감),2022-06-01,422.97
115,울릉도독도(감),2022-06-02,422.83
115,울릉도독도(감),2022-06-03,422.71
115,울릉도독도(감),2022-06-04,422.58
115,울릉도독도(감),2022-06-05,422.47
115,울릉도독도(감),2022-06-06,422.36
115,울릉도독도(감),2022-06-07,422.26
115,울릉도독도(감),2022-06-08,422.16
115,울릉도독도(감),2022-06-09,422.07
115,울릉도독도(감),2022-06-10,421.98
115,울릉도독도(감),2022-06-11,421.9
115,울릉도독도(감),2022-06-12,421.83
115,울릉도독도(감),2022-06-13,421.76
115,울릉도독도(감),2022-06-14,421.7
115,울릉도독도(감),2022-06-15,421.65
115,울릉도독도(감),2022-06-16,421.6
115,울릉도독도(감),2022-06-17,421.56
115,울릉도독도(감),2022-06-18,421.52
115,울릉도독도(감),2022-06-19,421.49
115,울릉도독도(감),2022-06-20,421.46
115,울릉도독도(감),2022-06-21,421.44
115,울릉도독도(감),2022-06-22,421.42
115,울릉도독도(감),2022-06-23,421.4
115,울릉도독도(감),2022-06-24,421.39
115,울릉도독도(감),2022-06-25,421.38
115,울릉도독도(감),2022-06-26,421.37
115,울릉도독도(감),2022-06-27,421.36
115,울릉도독도(감),2022-06-28,421.36
